Date,Trips,Miles,AnnualMember,24HourPasses,7DayPasses,Temp,Precip
8/2/13,39929,76850.08,2302,2302,230,82.94,0
8/3/13,33492,73880.78,3417,3417,180,78.08,15
8/4/13,39265,92853.07,4547,4547,261,80.06,0
8/5/13,40897,79011.43,1924,1924,276,78.08,0
8/6/13,42086,81608.23,1778,1778,222,82.04,0
8/7/13,38381,67642.99,1261,1261,183,80.06,0
8/8/13,31537,54038.73,946,946,137,80.96,117
8/9/13,32262,58270.72,1269,1269,134,84.92,13
8/10/13,42245,103374.87,5567,5567,223,82.94,0
8/11/13,36502,84843.06,3826,3826,234,80.96,0
8/12/13,34902,63964.77,1314,1314,257,82.04,13
8/13/13,24995,46673.63,787,787,111,77,216
8/14/13,42226,78504.31,1727,1727,219,73.94,0
8/15/13,41647,76042.75,1733,1733,179,78.08,0
8/16/13,39929,77974.52,2085,2085,170,82.04,0
8/17/13,42302,100644.38,5729,5729,217,84.02,0
8/18/13,30604,62118.39,2524,2524,160,75.92,0
8/19/13,36734,65131.45,1395,1395,236,78.98,0
8/20/13,39671,71208.6,1491,1491,233,87.98,0
8/21/13,40168,72187.25,1365,1365,176,89.96,0
8/22/13,29570,50731.47,787,787,128,78.08,64
8/23/13,37002,69056.73,1965,1965,157,82.04,0
8/24/13,36343,77721.21,3933,3933,194,80.06,0
8/25/13,34845,78867.26,3626,3626,199,82.94,0
8/26/13,33037,60571.79,1098,1098,190,84.02,10
8/27/13,37498,67298.37,1222,1222,188,87.08,3
8/28/13,30786,52087.93,765,765,102,86,109
8/29/13,37546,64515.35,1363,1363,141,80.06,0
8/30/13,35237,65061.31,1872,1872,165,84.92,0
8/31/13,17864,38932.32,3064,3064,174,86,0
9/1/13,27159,59511.81,3273,3273,148,84.02,0
9/2/13,23087,46390.09,1829,1829,121,82.04,13
9/3/13,35123,60574.2,1015,1015,157,82.04,8
9/4/13,39926,71734.81,1263,1263,176,82.04,0
9/5/13,38857,67675.05,1354,1354,185,80.06,0
9/6/13,38822,68646.73,1556,1556,155,71.96,0
9/7/13,37085,76879.05,3600,3600,200,80.06,0
9/8/13,35808,73244.67,3025,3025,182,82.94,0
9/9/13,38209,69577.82,1060,1060,203,73.04,0
9/10/13,39817,68945.01,986,986,182,87.08,3
9/11/13,38459,64954.7,1046,1046,147,96.08,0
9/12/13,33518,55126.83,756,756,126,87.08,406
9/13/13,39137,68772.63,1375,1375,145,77,15
9/14/13,33883,67871.17,3035,3035,153,66.92,0
9/15/13,34235,70936.16,3010,3010,167,73.04,0
9/16/13,33425,55362.28,781,781,149,73.04,8
9/17/13,40949,68372.03,971,971,170,64.94,0
9/18/13,40661,68061.45,1078,1078,152,71.96,0
9/19/13,41748,71029.08,1209,1209,154,78.08,0
9/20/13,41809,74393.47,1631,1631,156,78.98,0
9/21/13,33776,69274.72,3096,3096,132,77,183
9/22/13,31635,62411.04,2479,2479,136,69.08,114
9/23/13,37124,62160.82,1006,1006,171,66.02,0
9/24/13,40697,67489.36,1158,1158,153,73.04,0
9/25/13,40341,67922.94,966,966,133,73.04,0
9/26/13,40204,67059.52,973,973,117,71.06,0
9/27/13,39336,67437.64,1321,1321,137,69.08,0
9/28/13,37071,75849.59,3452,3452,126,73.04,0
9/29/13,34440,68618.62,2718,2718,161,71.96,0
9/30/13,39091,64769.5,1023,1023,140,75.02,0
10/1/13,42685,70626.41,258,1004,160,82.04,0
10/2/13,43450,73077,279,1129,153,82.94,0
10/3/13,42371,70446.4,560,1076,146,78.08,0
10/4/13,42232,75074.72,779,1434,141,86,0
10/5/13,36024,72951.14,750,2971,137,75.92,0
10/6/13,27841,49310.75,742,1368,105,69.98,0
10/7/13,26350,40197.87,585,421,78,75.92,64
10/8/13,40254,67151.3,332,896,137,66.92,0
10/9/13,38784,60453.16,248,714,98,62.06,0
10/10/13,32699,48977.37,182,482,95,64.94,0
10/11/13,34878,56472.63,170,798,90,68,5
10/12/13,34022,69386.36,180,2855,162,71.96,0
10/13/13,30198,58253.01,221,2208,122,64.94,0
10/14/13,34668,58222.87,248,1291,118,66.02,0
10/15/13,39390,64384.11,207,934,145,71.96,0
10/16/13,38743,62567.19,194,789,118,66.92,0
10/17/13,38655,62782.38,172,815,112,73.04,5
10/18/13,39913,67045.43,208,1267,122,68,0
10/19/13,31044,58542.63,108,2146,130,64.04,3
10/20/13,30691,59015.16,156,2114,101,62.96,0
10/21/13,36698,61276.03,214,849,93,66.02,0
10/22/13,38082,58309.86,184,636,87,66.92,0
10/23/13,33803,49344.83,111,355,66,55.04,0
10/24/13,33651,49520.22,86,444,69,53.96,0
10/25/13,32326,49095.71,95,592,77,53.06,0
10/26/13,25631,45286.3,93,1387,65,55.04,0
10/27/13,25047,44389.52,100,1362,98,57.92,0
10/28/13,32773,50799.69,146,530,104,60.98,0
10/29/13,34631,52807.88,100,450,101,55.94,0
10/30/13,36338,53509.93,91,453,73,60.08,0
10/31/13,32517,50981.21,102,464,83,66.02,15
11/1/13,31517,51110.53,84,848,75,69.98,33
11/2/13,32184,63298,94,2434,110,68,0
11/3/13,21503,33949,104,831,65,55.04,0
11/4/13,28265,42173,71,429,75,46.04,0
11/5/13,32668,48255,103,471,69,55.04,0
11/6/13,36076,56300,108,627,69,60.98,0
11/7/13,26679,37296,93,221,43,64.04,33
11/8/13,29719,45326,61,456,54,50,0
11/9/13,22548,38813,59,1121,46,50,0
11/10/13,20439,33572,51,952,51,60.98,0
11/11/13,28335,41988,92,438,57,53.06,0
11/12/13,20676,26743,66,111,25,51.98,8
11/13/13,24457,33093,62,157,21,39.02,0
11/14/13,27976,40091,61,274,53,51.98,0
11/15/13,30064,46078,55,601,56,57.02,0
11/16/13,26060,46782,56,1696,50,60.08,13
11/17/13,18691,29167,64,652,43,60.08,8
11/18/13,31860,50799,108,515,60,64.94,56
11/19/13,28395,38699,60,198,44,51.08,0
11/20/13,27158,37238,59,252,41,44.06,0
11/21/13,29819,42583,51,289,49,51.98,0
11/22/13,26332,38045,42,352,42,57.02,18
11/23/13,19619,31619,29,858,32,53.96,0
11/24/13,9690,12386,40,137,7,30.2,0
11/25/13,19834,26458,35,118,32,35.06,0
11/26/13,15519,20982,30,89,17,46.94,130
11/27/13,8311,11041,24,49,10,62.06,503
11/28/13,5420,9033,15,211,16,35.06,0
11/29/13,10527,16663,16,351,19,39.02,0
11/30/13,10182,16274,27,401,17,39.02,0
12/1/13,13792,20687,42,456,26,48.92,0
12/2/13,25440,38146,74,240,45,48.92,0
12/3/13,28454,41147,69,252,47,53.06,0
12/4/13,29151,43232,57,252,60,51.98,0
12/5/13,27956,40984,53,311,35,60.08,3
12/6/13,11140,15675,46,62,11,62.06,185
12/7/13,16097,23765,38,456,20,41,36
12/8/13,10409,13701,20,180,15,33.08,20
12/9/13,15434,19736,35,58,16,39.02,76
12/10/13,13354,18057,34,39,7,37.04,58
12/11/13,19461,25881,26,93,17,33.08,0
12/12/13,17799,22949,35,69,12,30.2,0
12/13/13,18498,26531,28,161,17,35.06,0
12/14/13,3800,5564,9,39,1,33.98,185
12/15/13,7715,10019,19,76,11,39.92,183
12/16/13,16167,21013,33,67,22,33.08,0
12/17/13,8139,11337,28,15,7,32,48
12/18/13,15482,20977,32,89,16,37.04,0
12/19/13,19429,26616,34,157,15,46.94,0
12/20/13,22855,33885,25,365,33,53.06,0
12/21/13,18574,31922,36,962,41,64.94,3
12/22/13,15617,26498,42,741,50,71.06,0
12/23/13,7239,10356,28,70,8,64.04,130
12/24/13,11472,16962,30,175,10,42.08,0
12/25/13,3375,5575,46,184,28,31.1,0
12/26/13,10166,13597,51,134,17,35.96,0
12/27/13,12151,18381,49,279,49,39.92,0
12/28/13,12397,22477,36,821,62,55.04,0
12/29/13,3911,5426,27,104,11,48.02,305
12/30/13,13682,20465,52,336,27,44.96,0
12/31/13,10872,14373,41,237,14,32,0
1/1/14,6278,9555,29,268,10,33.08,0
1/2/14,8883,11152,49,66,3,33.08,84
1/3/14,1230,1919,23,1,1,18.14,74
1/4/14,2375,3723,21,14,1,29.12,0
1/5/14,2798,3659,18,17,4,39.92,36
1/6/14,9901,13200,22,30,7,55.04,91
1/7/14,6669,8299,27,5,4,19.22,0
1/8/14,9707,11729,19,28,4,22.1,0
1/9/14,13911,18067,20,74,10,32,0
1/10/14,10224,13837,44,49,5,37.04,28
1/11/14,7983,11442,24,101,16,57.92,127
1/12/14,12990,18624,29,350,22,53.96,13
1/13/14,21410,30294,72,224,31,51.08,0
1/14/14,10376,13662,45,45,4,51.98,97
1/15/14,22511,31821,64,241,30,44.96,0
1/16/14,20645,27860,79,208,37,41,0
1/17/14,20931,31033,67,282,34,44.96,0
1/18/14,9768,15710,41,176,15,41,18
1/19/14,9313,13433,838,39,194,35.96,0
1/20/14,13875,19953,39,133,11,44.96,0
